"question","option_1","option_2","option_3","correct_index","explanation"
"What is a potential outcome of using poor-quality data in AI application?","AI model training becomes slower and less efficient","AI models may produce biased or erroneous results.","AI models become more interpretable","1","The correct answer is:B - Poor-quality data can lead to biased or erroneous results because AI models learn patterns from the data they are trained on. If the data contains inaccuracies, inconsistencies, or biases, the model will likely replicate or amplify these issues in its predictions or outputs."
"Salesforce defines bias as using a person's Immutable traits to classify them or market to them. Which potentially sensitive attribute is an example of an immutable trait?","Financial status","Nickname","Email address","0","The correct answer is:A - The correct answer should be an immutable trait, such as race, gender, or age, which are inherent and unchangeable. Financial status, nickname, and email address are not immutable as they can change over time. The provided answer (A) seems incorrect based on Salesforce's definition."
"What is an example of Salesforce's Trusted AI Principle of Inclusivity in practice?","Testing models with diverse datasets","Striving for model explainability","Working with human rights experts","0","The correct answer is:A - Inclusivity in AI involves ensuring models are fair and representative of diverse populations. Testing with diverse datasets helps achieve this by reducing bias and ensuring the model performs well across different demographics."
"What are some key benefits of AI in improving customer experiences in CRM?","Improves CRM security protocols, safeguarding sensitive customer data from potential breaches and threats","Streamlines case management by categorizing and tracking customer support cases, identifying topics, and summarizing case resolutions","Fully automates the customer service experience, ensuring seamless automated interactions with customers","1","The correct answer is:B - AI enhances customer experiences in CRM by streamlining processes like case management, enabling faster and more accurate support through categorization, topic identification, and resolution summaries."
"What is a possible outcome of poor data quality?","AI models maintain accuracy but have slower response times.","Biases in data can be inadvertently learned and amplified by AI systems.","AI predictions become more focused and less robust.","1","The correct answer is:B - Poor data quality can introduce biases into AI systems, which are then learned and amplified, leading to unfair or inaccurate outcomes."
"What are the key components of the data quality standard?","Naming, formatting, Monitoring","Accuracy, Completeness, Consistency","Reviewing, Updating, Archiving","1","The correct answer is:B - The key components of data quality standards are accuracy (data correctness), completeness (no missing values), and consistency (uniformity across systems), as these ensure reliable AI outcomes."
"Cloud Kicks relies on data analysis to optimize its product recommendation; however, CK encounters a recurring Issue of Incomplete customer records, with missing contact Information and incomplete purchase histories. How will this incomplete data quality impact the company's operations?","The accuracy of product recommendations is hindered.","The diversity of product recommendations Is Improved.","The response time for product recommendations is stalled.","0","The correct answer is:A - Incomplete customer records, such as missing contact information or purchase histories, reduce the data available for analysis, leading to less accurate product recommendations."
"What can bias in AI algorithms in CRM lead to?","Personalization and target marketing changes","Advertising cost increases","Ethical challenges in CRM systems","2","The correct answer is:C - Bias in AI algorithms can result in unfair treatment of customers, leading to ethical challenges such as discrimination or exclusion in CRM systems."
"How does a data quality assessment impact business outcome for companies using AI?","Improves the speed of AI recommendations","Accelerates the delivery of new AI solutions","Provides a benchmark for AI predictions","2","The correct answer is:C - A data quality assessment establishes a benchmark for AI predictions by identifying issues like inaccuracies or gaps, enabling better decision-making and model performance."
"What is the role of Salesforce Trust AI principles in the context of CRM system?","Guiding ethical and responsible use of AI","Providing a framework for AI data model accuracy","Outlining the technical specifications for AI integration","0","The correct answer is:A - Salesforce's Trusted AI Principles guide the ethical and responsible use of AI in CRM, ensuring fairness, transparency, and accountability in AI-driven decisions."
"Cloud kicks wants to develop a solution to predict customers' interest based on historical data. The company found that employee region uses a text field to capture the product category while employees from all other locations use a pick list. Which dimension of data quality is affected in this scenario?","Accuracy","Consistency","Completeness","1","The correct answer is:B - The use of different input methods (text field vs. pick list) for the same data point (product category) affects consistency, as the data format varies across regions."
"Cloud Kicks wants to create a custom service analytics application to analyze cases in Salesforce. The application should rely on accurate data to ensure efficient case resolution. Which data quality dimension Is essential for this custom application?","Consistency","Duplication","Age","0","The correct answer is:A - Consistency ensures that data is uniform across the system, which is critical for a service analytics application to provide reliable insights for case resolution."
"What is a potential source of bias in training data for AI models?","The data is collected in area time from sources systems.","The data is skewed toward is particular demographic or source.","The data is collected from a diverse range of sources and demographics.","1","The correct answer is:B - Skewed data, favoring a particular demographic or source, introduces bias by underrepresenting other groups, leading to unfair AI model outcomes."
"A data quality expert at Cloud Kicks wants to ensure that each new contact contains at least an email address. Which feature should they use to accomplish this?","Auto fill","Duplicate matching rule","Validation rule","2","The correct answer is:C - A validation rule in Salesforce can enforce that a field (e.g., email address) is not left blank when creating a new contact, ensuring data completeness."
"In the context of Salesforce's Trusted AI Principles what does the principle of Empowerment primarily aim to achieve?","Empower users to off all skill level to build AI application with clicks, not code.","Empower users to contribute to the growing body of knowledge of leading AI research.","Empower users to solve challenging technical problems using neural networks.","0","The correct answer is:A - The Empowerment principle focuses on enabling users of all skill levels to leverage AI tools easily, such as through low-code or no-code platforms in Salesforce."
"An administrator at Cloud Kicks wants to ensure that a field is set up on the customer record so their preferred name can be captured. Which Salesforce field type should the administrator use to accomplish this?","Multi-Select Pick list","Text","Rich Text Area","1","The correct answer is:B - A text field is appropriate for capturing a customer's preferred name, as it allows for free-form input without the complexity of rich text or the limitations of a pick list."
"What is the key difference between generative and predictive AI?","Generative AI creates new content based on existing data and predictive AI analyzes existing data.","Generative AI finds content similar to existing data and predictive AI analyzes existing data.","Generative AI analyzes existing data and predictive AI creates new content based on existing data.","0","The correct answer is:A - Generative AI generates new content (e.g., text, images) based on patterns in existing data, while predictive AI analyzes data to forecast outcomes or classify data points."
"A healthcare company implements an algorithm to analyze patient data and assist in medical diagnosis. Which primary role does data Quality play In this AI application?","Enhanced accuracy and reliability of medical predictions and diagnoses","Ensured compatibility of AI algorithms with the system's Infrastructure","Reduced need for healthcare expertise in interpreting AI outputs","0","The correct answer is:A - High-quality data is critical in healthcare AI to ensure accurate and reliable medical predictions, as poor data could lead to misdiagnoses or harmful outcomes."
"What is an example of ethical debt?","Violating a data privacy law and falling to pay fines","Launching an AI feature after discovering a harmful bias","Delaying an AI product launch to retrain an AI data model","1","The correct answer is:B - Ethical debt occurs when an organization knowingly deploys an AI system with issues, such as harmful bias, creating future ethical liabilities."
"What are some of the ethical challenges associated with AI development?","Potential for human bias in machine learning algorithms and the lack of transparency in AI decision-making processes","Implicit transparency of AI systems, which makes It easy for users to understand and trust their decisions","Inherent neutrality of AI systems, which eliminates any potential for human bias in decision-making","0","The correct answer is:A - Ethical challenges in AI include biases in algorithms, which can perpetuate unfair outcomes, and lack of transparency, making it hard for users to trust AI decisions."
"A customer using Einstein Prediction Builder is confused about why a certain prediction was made. Following Salesforce's Trusted AI Principle of Transparency, which customer information should be accessible on the Salesforce Platform?","An explanation of how Prediction Builder works and a link to Salesforce's Trusted AI Principles","An explanation of the prediction's rationale and a model card that describes how the model was created","A marketing article of the product that clearly outlines the product's capabilities and features","1","The correct answer is:B - Transparency requires providing customers with clear explanations of why a prediction was made and details about the model, such as a model card, to build trust."
"A system admin recognizes the need to put a data management strategy in place. What is a key component of data management strategy?","Naming Convention","Data Backup","Color Coding","1","The correct answer is:B - Data backup is a critical component of a data management strategy, ensuring data is preserved and recoverable in case of loss or corruption."
"Why is it critical to consider privacy concerns when dealing with AI and CRM data?","Ensures compliance with laws and regulations","Confirms the data is accessible to all users","Increases the volume of data collected","0","The correct answer is:A - Privacy concerns are critical to ensure compliance with data protection laws (e.g., GDPR, CCPA), avoiding legal penalties and maintaining customer trust."
"Cloud Kicks wants to use an AI model to predict the demand for shoes using historical data on sales and regional characteristics. What is an essential data quality dimension to achieve this goal?","Reliability","Volume","Age","0","The correct answer is:A - Reliability ensures that the data is accurate and trustworthy, which is essential for making accurate predictions about shoe demand."
"Which type of bias results from data being labeled according to stereotypes?","Association","Societal","Interaction","1","The correct answer is:B - Societal bias occurs when data is labeled based on stereotypes, reflecting societal prejudices and leading to unfair AI outcomes."
"A marketing manager wants to use AI to better engage their customers. Which functionality provides the best solution?","Journey Optimization","Bring Your Own Model","Einstein Engagement","2","The correct answer is:C - Einstein Engagement uses AI to analyze customer behavior and deliver personalized marketing content, improving customer engagement."
"Which features of Einstein enhance sales efficiency and effectiveness?","Opportunity List View, Lead List View, Account List view","Opportunity Scoring, Opportunity List View, Opportunity Dashboard","Opportunity Scoring, Lead Scoring, Account Insights","2","The correct answer is:C - Einstein's Opportunity Scoring, Lead Scoring, and Account Insights help sales teams prioritize high-potential leads and opportunities, improving efficiency and effectiveness."
"Cloud Kicks wants to implement AI features on its Salesforce Platform but has concerns about potential ethical and privacy challenges. What should they consider doing to minimize potential AI bias?","Integrate AI models that auto-correct biased data.","Implement Salesforce's Trusted AI Principles.","Use demographic data to identify minority groups.","1","The correct answer is:B - Implementing Salesforce's Trusted AI Principles, such as inclusivity and transparency, helps minimize bias by guiding ethical AI development and deployment."
"Which data does Salesforce automatically exclude from marketing Cloud Einstein engagement model training to mitigate bias and ethic...","Geographic","Demographic","Cryptographic","1","The correct answer is:B - Salesforce automatically excludes demographic data from Marketing Cloud Einstein engagement model training to mitigate bias and ethical concerns. This includes data like age, gender, race, ethnicity, income, education, or occupation, which could lead to biased or discriminatory outcomes if used in AI models. By focusing on behavioral data instead, Salesforce promotes fairer and more ethical engagement models.
A. Geographic: Geographic data (e.g., location or postal codes) is not automatically excluded. While it can sometimes correlate with sensitive attributes, Salesforce typically reviews rather than excludes it outright.
C. Cryptographic: Cryptographic data (e.g., encrypted identifiers) is irrelevant to bias or ethical concerns in this context and is not excluded for this purpose."
"Which best describes the different between predictive AI and generative AI?","Predictive AI creates new and original output for a given input.","Predictive AI and generative have the same capabilities differ in the type of input they receive: predictive AI receives raw data whereas generation AI receives natural language.","Predictive AI uses machine learning to classes or predict output from its input data whereas generative AI does not use machine learning to generate its output","0","The correct answer is:A - The correct answer should be: Predictive AI uses machine learning to classify or predict outcomes, while generative AI creates new content. The provided answer (A C) seems incorrect, as option A is wrong."
